-199      	45        	37        	-46       	160       	150       	111       	-89       	
-72       	-34       	104       	-141      	224       	-25       	220       	32        	
38        	-93       	54        	-168      	-255      	141       	-63       	86        	
-173      	-47       	-166      	39        	18        	-250      	189       	-184      	
143       	196       	243       	15        	226       	130       	-186      	-45       	
-149      	175       	194       	-57       	215       	126       	39        	-160      	
-162      	164       	241       	194       	57        	203       	-129      	249       	
222       	-25       	63        	25        	217       	-62       	-99       	114       	


-80       	-194      	156       	-251      	132       	-82       	-25       	184       	
-86       	71        	30        	-24       	-65       	-216      	45        	-118      	
81        	-111      	-196      	-246      	-249      	14        	238       	139       	
96        	244       	-92       	198       	-104      	0         	42        	187       	
-197      	239       	241       	-59       	-205      	133       	-124      	-142      	
-253      	-170      	-181      	192       	-12       	-104      	-155      	-63       	
165       	-2        	-47       	154       	-230      	226       	230       	135       	
202       	-181      	-153      	81        	81        	-96       	-101      	5         	


183       	-134      	-28       	-133      	-248      	-239      	77        	-139      	
188       	56        	-170      	-159      	188       	83        	101       	31        	
193       	-144      	157       	-229      	124       	-241      	-165      	-216      	
-252      	-197      	-243      	-142      	-57       	35        	209       	145       	
-87       	211       	-146      	205       	246       	-219      	13        	70        	
87        	-121      	239       	244       	-6        	-21       	-126      	-88       	
75        	59        	-38       	228       	251       	-173      	-49       	138       	
-57       	-4        	-202      	-169      	116       	118       	-243      	245       	


